frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z
1	0.7660515103949673	0.0036183311250976525	-0.273183994108619	2.1	2.1
1	0.5259517321501772	0.023305910083036625	0.013723096336429989	2.1	2.1
1	0.5425546865687062	0.04896608468900616	0.02687950020155835	2.1	2.1
1	0.5591576409872352	0.07462625929497568	0.04003590406668672	2.1	2.1
1	0.5757605954057642	0.10028643390094522	0.05319230793181509	2.1	2.1
1	0.5923635498242932	0.12594660850691478	0.06634871179694346	2.1	2.1
1	0.6089665042428223	0.15160678311288428	0.07950511566207182	2.1	2.1
1	0.6255694586613513	0.1772669577188538	0.09266151952720018	2.1	2.1
1	0.6421724130798803	0.20292713232482332	0.10581792339232854	2.1	2.1
1	0.6587753674984093	0.22858730693079288	0.11897432725745691	2.1	2.1
1	0.6753783219169383	0.2542474815367624	0.13213073112258528	2.1	2.1
1	0.6919812763354674	0.279907656142732	0.14528713498771367	2.1	2.1
1	0.5259199096870317	-0.0023659932503025307	0.0003805731181707756	2.1	2.1
1	0.5424592191792699	-0.0280496253110113	-0.01314806945321928	2.1	2.1
1	0.5589985286715079	-0.053733257371720085	-0.026676712024609337	2.1	2.1
1	0.575537838163746	-0.07941688943242886	-0.04020535459599939	2.1	2.1
1	0.5920771476559842	-0.10510052149313764	-0.053733997167389455	2.1	2.1
1	0.6086164571482222	-0.13078415355384643	-0.06726263973877951	2.1	2.1
1	0.6251557666404604	-0.1564677856145552	-0.08079128231016958	2.1	2.1
1	0.6416950761326985	-0.18215141767526397	-0.09431992488155962	2.1	2.1
1	0.6582343856249366	-0.20783504973597275	-0.10784856745294967	2.1	2.1
1	0.6747736951171748	-0.23351868179668153	-0.12137721002433972	2.1	2.1
1	0.6913130046094128	-0.2592023138573903	-0.1349058525957298	2.1	2.1
1	0.5258451917508277	-0.0028778440907015253	0.012744706492537894	2.1	2.1
1	0.5422350653706578	-0.029585177832208293	0.023944330669882073	2.1	2.1
1	0.5586249389904879	-0.05629251157371506	0.03514395484722625	2.1	2.1
1	0.5750148126103181	-0.08299984531522184	0.04634357902457044	2.1	2.1
1	0.5914046862301481	-0.10970717905672861	0.05754320320191461	2.1	2.1
1	0.6077945598499782	-0.13641451279823538	0.0687428273792588	2.1	2.1
1	0.6241844334698083	-0.16312184653974215	0.07994245155660297	2.1	2.1
1	0.6405743070896384	-0.1898291802812489	0.09114207573394714	2.1	2.1
1	0.6569641807094685	-0.2165365140227557	0.10234169991129133	2.1	2.1
1	0.6733540543292986	-0.24324384776426247	0.11354132408863551	2.1	2.1
1	0.6897439279491288	-0.2699511815057692	0.1247409482659797	2.1	2.1
1	0.5270921436176444	0.01031557229197281	0.01973352258504814	2.1	2.1
1	0.5459759209711081	0.009995071315814716	0.0449107789474128	2.1	2.1
1	0.5648596983245718	0.00967457033965662	0.07008803530977747	2.1	2.1
1	0.5837434756780355	0.009354069363498524	0.09526529167214214	2.1	2.1
1	0.6026272530314992	0.009033568387340428	0.1204425480345068	2.1	2.1
1	0.6215110303849629	0.008713067411182333	0.14561980439687147	2.1	2.1
1	0.6403948077384265	0.008392566435024236	0.17079706075923612	2.1	2.1
1	0.6592785850918902	0.008072065458866141	0.19597431712160082	2.1	2.1
1	0.6781623624453539	0.007751564482708044	0.2211515734839655	2.1	2.1
1	0.6970461397988176	0.0074310635065499495	0.24632882984633012	2.1	2.1
1	0.7159299171522813	0.007110562530391853	0.27150608620869476	2.1	2.1
1	0.734813694505745	0.006790061554233758	0.29668334257105944	2.1	2.1
1	0.4549696103496005	0.19498950693059586	0.3715723664992996	2.1	2.1
1	0.4783327668443749	0.2042988627891788	0.3506478874917737	2.1	2.1
1	0.5016959233391494	0.21360821864776175	0.32972340848424786	2.1	2.1
1	0.5250590798339237	0.22291757450634467	0.30879892947672194	2.1	2.1
1	0.5484222363286981	0.23222693036492761	0.2878744504691961	2.1	2.1
1	0.5717853928234725	0.24153628622351056	0.2669499714616702	2.1	2.1
1	0.5951485493182469	0.2508456420820935	0.24602549245414432	2.1	2.1
1	0.6185117058130214	0.2601549979406764	0.22510101344661845	2.1	2.1
1	0.6418748623077958	0.26946435379925937	0.20417653443909256	2.1	2.1
1	0.6652380188025702	0.2787737096578423	0.18325205543156667	2.1	2.1
1	0.6886011752973447	0.28808306551642526	0.16232757642404078	2.1	2.1
1	0.45696837533313434	0.18198460091334304	0.3787272134916616	2.1	2.1
1	0.4843290617949765	0.16528414473742034	0.3721124284688597	2.1	2.1
1	0.5116897482568186	0.14858368856149765	0.36549764344605784	2.1	2.1
1	0.5390504347186608	0.13188323238557495	0.35888285842325596	2.1	2.1
1	0.5664111211805029	0.11518277620965224	0.3522680734004541	2.1	2.1
1	0.593771807642345	0.09848232003372955	0.3456532883776522	2.1	2.1
1	0.6211324941041871	0.08178186385780684	0.33903850335485025	2.1	2.1
1	0.6484931805660292	0.06508140768188417	0.33242371833204837	2.1	2.1
1	0.6758538670278714	0.048380951505961445	0.3258089333092465	2.1	2.1
1	0.7032145534897136	0.03168049533003875	0.3191941482864446	2.1	2.1
1	0.7305752399515557	0.014980039154116054	0.3125793632636427	2.1	2.1
1	0.44669506923373503	0.20592958406677597	0.37887364011034486	2.1	2.1
1	0.45350914349677846	0.2371190941977191	0.3725517083249095	2.1	2.1
1	0.4603232177598219	0.2683086043286622	0.36622977653947414	2.1	2.1
1	0.46713729202286536	0.2994981144596054	0.35990784475403875	2.1	2.1
1	0.4739513662859088	0.33068762459054857	0.3535859129686034	2.1	2.1
1	0.4807654405489522	0.3618771347214917	0.34726398118316804	2.1	2.1
1	0.4875795148119957	0.3930666448524348	0.34094204939773265	2.1	2.1
1	0.4943935890750391	0.424256154983378	0.3346201176122973	2.1	2.1
1	0.5012076633380825	0.4554456651143211	0.32829818582686193	2.1	2.1
1	0.508021737601126	0.4866351752452643	0.3219762540414266	2.1	2.1
1	0.5148358118641695	0.5178246853762074	0.3156543222559912	2.1	2.1
1	0.4548811314393689	0.18252465919322275	0.3906431190810316	2.1	2.1
1	0.47806733011368024	0.16690431957705953	0.4078601452369698	2.1	2.1
1	0.5012535287879916	0.15128397996089626	0.4250771713929079	2.1	2.1
1	0.5244397274623028	0.13566364034473305	0.442294197548846	2.1	2.1
1	0.5476259261366141	0.1200433007285698	0.4595112237047842	2.1	2.1
1	0.5708121248109254	0.10442296111240655	0.4767282498607223	2.1	2.1
1	0.5939983234852366	0.08880262149624331	0.4939452760166605	2.1	2.1
1	0.617184522159548	0.07318228188008007	0.5111623021725986	2.1	2.1
1	0.6403707208338593	0.05756194226391681	0.5283793283285367	2.1	2.1
1	0.6635569195081705	0.041941602647753595	0.5455963544844749	2.1	2.1
1	0.6867431181824818	0.026321263031590325	0.5628133806404131	2.1	2.1
1	0.7099293168567931	0.010700923415427083	0.5800304067963512	2.1	2.1
1	0.45009314702086484	0.19381342340548252	0.39695430551813715	2.1	2.1
1	0.46370337685816787	0.2007706122138388	0.4267937045482864	2.1	2.1
1	0.4773136066954709	0.20772780102219507	0.4566331035784357	2.1	2.1
1	0.49092383653277394	0.21468498983055134	0.4864725026085849	2.1	2.1
1	0.5045340663700769	0.2216421786389076	0.5163119016387341	2.1	2.1
1	0.51814429620738	0.22859936744726386	0.5461513006688834	2.1	2.1
1	0.531754526044683	0.23555655625562014	0.5759906996990326	2.1	2.1
1	0.5453647558819861	0.2425137450639764	0.6058300987291818	2.1	2.1
1	0.5589749857192892	0.24947093387233268	0.6356694977593311	2.1	2.1
1	0.5725852155565921	0.25642812268068893	0.6655088967894802	2.1	2.1
1	0.5861954453938952	0.2633853114890452	0.6953482958196295	2.1	2.1
1	0.5998056752311982	0.2703425002974015	0.7251876948497789	2.1	2.1
1	0.4454173645028779	0.2040910582382982	0.39010843862313155	2.1	2.1
1	0.449676029304207	0.2316035167122858	0.4062561038632696	2.1	2.1
1	0.45393469410553616	0.25911597518627344	0.42240376910340766	2.1	2.1
1	0.45819335890686536	0.28662843366026103	0.4385514343435457	2.1	2.1
1	0.4624520237081945	0.3141408921342487	0.4546990995836837	2.1	2.1
1	0.46671068850952363	0.34165335060823626	0.47084676482382176	2.1	2.1
1	0.4709693533108528	0.36916580908222385	0.4869944300639598	2.1	2.1
1	0.47522801811218196	0.3966782675562115	0.5031420953040978	2.1	2.1
1	0.4794866829135111	0.42419072603019914	0.5192897605442359	2.1	2.1
1	0.4837453477148403	0.4517031845041867	0.5354374257843739	2.1	2.1
1	0.4880040125161694	0.47921564297817437	0.5515850910245119	2.1	2.1
1	0.49226267731749856	0.506728101452162	0.56773275626465	2.1	2.1
1	0.38465282232765624	0.0024272087418346407	0.7003776641360355	2.1	2.1
1	0.40579167640596037	0.028274245499905586	0.7041614479673516	2.1	2.1
1	0.4269305304842645	0.05412128225797653	0.7079452317986675	2.1	2.1
1	0.4480693845625687	0.07996831901604749	0.7117290156299835	2.1	2.1
1	0.4692082386408728	0.10581535577411845	0.7155127994612995	2.1	2.1
1	0.490347092719177	0.1316623925321894	0.7192965832926155	2.1	2.1
1	0.511485946797481	0.15750942929026035	0.7230803671239314	2.1	2.1
1	0.5326248008757852	0.18335646604833128	0.7268641509552475	2.1	2.1
1	0.5537636549540894	0.20920350280640224	0.7306479347865634	2.1	2.1
1	0.5749025090323936	0.2350505395644732	0.7344317186178794	2.1	2.1
1	0.5960413631106977	0.2608975763225442	0.7382155024491954	2.1	2.1
1	0.3898760780569335	-0.00988780676244873	0.693492733477375	2.1	2.1
1	0.42146144359379206	-0.00867080101294452	0.6835066559913697	2.1	2.1
1	0.45304680913065065	-0.007453795263440309	0.6735205785053645	2.1	2.1
1	0.48463217466750924	-0.006236789513936099	0.6635345010193593	2.1	2.1
1	0.5162175402043678	-0.005019783764431888	0.6535484235333541	2.1	2.1
1	0.5478029057412265	-0.0038027780149276786	0.643562346047349	2.1	2.1
1	0.5793882712780851	-0.002585772265423468	0.6335762685613437	2.1	2.1
1	0.6109736368149437	-0.0013687665159192591	0.6235901910753385	2.1	2.1
1	0.6425590023518022	-0.00015176076641504853	0.6136041135893333	2.1	2.1
1	0.6741443678886608	0.001065244983089162	0.6036180361033281	2.1	2.1
1	0.7057297334255195	0.0022822507325933727	0.5936319586173229	2.1	2.1
1	0.3766372681474575	8.692510873443623e-05	0.7106847012975706	2.1	2.1
1	0.38174501386536425	0.021253394600604977	0.7350825594519564	2.1	2.1
1	0.3868527595832709	0.04241986409247552	0.7594804176063423	2.1	2.1
1	0.39196050530117765	0.06358633358434608	0.7838782757607282	2.1	2.1
1	0.3970682510190844	0.0847528030762166	0.8082761339151141	2.1	2.1
1	0.4021759967369911	0.10591927256808714	0.8326739920695	2.1	2.1
1	0.4072837424548978	0.12708574205995768	0.8570718502238859	2.1	2.1
1	0.4123914881728045	0.14825221155182824	0.8814697083782719	2.1	2.1
1	0.41749923389071125	0.16941868104369878	0.9058675665326578	2.1	2.1
1	0.422606979608618	0.19058515053556932	0.9302654246870437	2.1	2.1
1	0.42771472532652466	0.21175162002743986	0.9546632828414295	2.1	2.1
1	0.4328224710444314	0.23291808951931042	0.9790611409958154	2.1	2.1
1	0.3857861178718054	-0.021219829998291043	0.6997941718786251	2.1	2.1
1	0.4091915630384078	-0.04266687072047147	0.7024109711951203	2.1	2.1
1	0.43259700820501024	-0.0641139114426519	0.7050277705116155	2.1	2.1
1	0.45600245337161266	-0.08556095216483231	0.7076445698281106	2.1	2.1
1	0.4794078985382151	-0.10700799288701274	0.7102613691446058	2.1	2.1
1	0.5028133437048175	-0.12845503360919316	0.712878168461101	2.1	2.1
1	0.5262187888714199	-0.14990207433137356	0.7154949677775961	2.1	2.1
1	0.5496242340380224	-0.171349115053554	0.7181117670940913	2.1	2.1
1	0.5730296792046248	-0.19279615577573442	0.7207285664105865	2.1	2.1
1	0.5964351243712271	-0.21424319649791485	0.7233453657270816	2.1	2.1
1	0.6198405695378296	-0.23569023722009527	0.7259621650435768	2.1	2.1
1	0.6432460147044321	-0.2571372779422757	0.728578964360072	2.1	2.1
1	0.3793290439409257	-0.021110714339507508	0.7103712469123533	2.1	2.1
1	0.3898203412457688	-0.042339523744120866	0.7341421962963048	2.1	2.1
1	0.40031163855061197	-0.06356833314873422	0.7579131456802564	2.1	2.1
1	0.4108029358554551	-0.08479714255334757	0.7816840950642079	2.1	2.1
1	0.4212942331602982	-0.10602595195796091	0.8054550444481594	2.1	2.1
1	0.4317855304651413	-0.12725476136257427	0.8292259938321109	2.1	2.1
1	0.44227682776998445	-0.14848357076718763	0.8529969432160625	2.1	2.1
1	0.45276812507482755	-0.16971238017180099	0.876767892600014	2.1	2.1
1	0.46325942237967066	-0.19094118957641434	0.9005388419839656	2.1	2.1
1	0.47375071968451377	-0.21216999898102767	0.9243097913679171	2.1	2.1
1	0.48424201698935687	-0.23339880838564103	0.9480807407518687	2.1	2.1
1	0.49473331429420003	-0.2546276177902544	0.9718516901358202	2.1	2.1
1	0.39417715104163514	0.29251752443733453	-0.6451155606612835	2.1	2.1
1	0.412439899914864	0.2885489112096231	-0.6714417877318576	2.1	2.1
1	0.43070264878809295	0.2845802979819117	-0.6977680148024317	2.1	2.1
1	0.4489653976613218	0.2806116847542003	-0.7240942418730058	2.1	2.1
1	0.4672281465345507	0.2766430715264889	-0.7504204689435798	2.1	2.1
1	0.48549089540777957	0.2726744582987775	-0.7767466960141538	2.1	2.1
1	0.5037536442810084	0.2687058450710661	-0.8030729230847279	2.1	2.1
1	0.5220163931542373	0.2647372318433547	-0.829399150155302	2.1	2.1
1	0.5402791420274662	0.2607686186156433	-0.855725377225876	2.1	2.1
1	0.5585418909006951	0.2568000053879319	-0.8820516042964501	2.1	2.1
1	0.5768046397739239	0.2528313921602205	-0.9083778313670242	2.1	2.1
1	0.5950673886471529	0.2488627789325091	-0.9347040584375983	2.1	2.1
1	0.384496165759926	0.3002554024056248	-0.6466971349008706	2.1	2.1
1	0.3833969440697367	0.3117625451144941	-0.6761865104506187	2.1	2.1
1	0.38229772237954734	0.3232696878233633	-0.7056758860003668	2.1	2.1
1	0.381198500689358	0.3347768305322325	-0.735165261550115	2.1	2.1
1	0.3800992789991687	0.3462839732411017	-0.764654637099863	2.1	2.1
1	0.37900005730897934	0.357791115949971	-0.7941440126496112	2.1	2.1
1	0.37790083561879	0.3692982586588402	-0.8236333881993593	2.1	2.1
1	0.3768016139286007	0.38080540136770946	-0.8531227637491074	2.1	2.1
1	0.37570239223841134	0.3923125440765787	-0.8826121392988555	2.1	2.1
1	0.374603170548222	0.4038196867854479	-0.9121015148486036	2.1	2.1
1	0.3735039488580327	0.4153268294943171	-0.9415908903983518	2.1	2.1
1	0.37240472716784334	0.42683397220318636	-0.9710802659480999	2.1	2.1
1	0.4013211285628189	0.2943028757335793	-0.634683602322729	2.1	2.1
1	0.4338718324784152	0.2939049650983576	-0.6401459127161941	2.1	2.1
1	0.46642253639401154	0.2935070544631359	-0.6456082231096592	2.1	2.1
1	0.4989732403096079	0.2931091438279142	-0.6510705335031243	2.1	2.1
1	0.5315239442252042	0.29271123319269243	-0.6565328438965893	2.1	2.1
1	0.5640746481408005	0.2923133225574707	-0.6619951542900544	2.1	2.1
1	0.596625352056397	0.291915411922249	-0.6674574646835194	2.1	2.1
1	0.6291760559719932	0.29151750128702725	-0.6729197750769844	2.1	2.1
